term,year,submitted_at,started_at,attended,heard_web,heard_social,heard_email,heard_element,heard_peers,heard_other,reason_knew_choice,reason_web_enough,reason_schedule_conflict,reason_course_load,reason_no_notice,reason_other,had_prior_decision,changed_decision,decision_reason,useful_cc_qa,useful_cc_fusion,useful_is_inside,useful_is_google,useful_iti_expectation,useful_iti_security,useful_iti_lora,useful_iti_jobs,useful_admin_talk,liked_most,liked_least_improve,activities_helped,response_id,last_page,language,seed,last_action_at,heard_teachers,no_attendance_reason,decision_semester,activities_influenced,factor_professors,factor_courses,factor_ecci_events,factor_advanced_students,factor_study_plan,factor_salary,factor_job_market,factor_other,impact_is_activity,impact_iti_activity,impact_cc_activity,useful_intro_talk,useful_is_activity,useful_iti_activity,useful_cc_activity,low_usefulness_comment,chosen_emphasis,difficulty_cycle_1,difficulty_cycle_2,difficulty_cycle_3,difficulty_cycle_4,axis1_programming,axis2_programming,axis1_discrete_structures,axis2_discrete_structures,axis1_architecture,axis2_architecture,axis1_assembly,axis2_assembly,axis1_algorithms,axis2_algorithms,axis1_parallel_programming,axis2_parallel_programming,axis1_math_for_computing,axis2_math_for_computing,axis1_linear_algebra,axis2_linear_algebra,axis1_calculus,axis2_calculus,axis1_probability_stats,axis2_probability_stats,skill_teamwork,skill_ethics,skill_communication,skill_perseverance,skill_discipline,skill_collaboration,skill_responsibility,study_plan_comment,time_total,time_general_group,time_i01,time_i02,time_pc01,time_i03,time_na01,time_i04,time_s05,time_i06,time_s07,time_s08,time_s09,time_i10,time_feedback_group,time_r01,time_r02,time_r03,time_r04,useful_student_roundtable,useful_graduate_roundtable,useful_admin_myths_talk,useful_roundtable,c_324,c_2023_02_02_14_15_40,c_2,es,c_1066920111,c_2023_02_02_13_56_51,c_2023_02_02_14_15_40_2,si,no,si_2,no_2,no_3,si_3,col,si_4,col_2,i_semestre_del_1er_ano,parcialmente,no_4,si_5,no_5,no_6,si_6,si_7,si_8,col_3,col_4,col_5,col_6,c_5_muy_util,c_5_muy_util_2,c_5_muy_util_3,col_7,is_ingenieria_de_software,c_2_2,c_2_3,c_3,c_4,c_2_4,c_3_2,c_4_2,c_4_3,c_2_5,c_3_3,c_2_6,c_3_4,c_4_4,muy_alto_5,c_2_7,c_2_8,c_3_5,c_3_6,c_3_7,c_2_9,c_3_8,c_3_9,c_3_10,c_3_11,c_4_5,c_4_6,c_4_7,c_4_8,c_2_10,c_4_9,c_3_12,col_8,c_1128_41,c_82_17,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,c_1046_24
I Ciclo,2021,2021-05-20 20:19:58,2021-05-20 20:16:22,No,N/A,N/A,N/A,N/A,N/A,,No,No,Sí,Sí,No,,,N/A,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I Ciclo,2021,2021-05-15 05:32:15,2021-05-15 05:28:39,No,N/A,N/A,N/A,N/A,N/A,,No,No,No,Sí,No,,,N/A,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I Ciclo,2021,2021-05-20 05:05:00,2021-05-20 04:59:41,No,N/A,N/A,N/A,N/A,N/A,,No,No,No,Sí,No,,,N/A,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I Ciclo,2021,2021-05-20 01:07:28,2021-05-20 00:56:46,No,N/A,N/A,N/A,N/A,N/A,,Sí,No,No,No,No,,,N/A,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I Ciclo,2021,2021-05-20 18:31:33,2021-05-20 18:28:47,No,N/A,N/A,N/A,N/A,N/A,,Sí,No,No,No,No,,,N/A,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I Ciclo,2021,2021-05-23 03:22:10,2021-05-23 03:19:29,No,N/A,N/A,N/A,N/A,N/A,,Sí,No,No,No,No,,,N/A,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I Ciclo,2021,2021-05-19 22:29:40,2021-05-19 22:25:21,No,N/A,N/A,N/A,N/A,N/A,,Sí,No,No,No,No,,,N/A,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I Ciclo,2021,2021-05-19 19:44:46,2021-05-19 19:41:45,No,N/A,N/A,N/A,N/A,N/A,,No,No,No,Sí,No,,,N/A,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I Ciclo,2021,2021-05-24 18:03:04,2021-05-24 17:59:38,No,N/A,N/A,N/A,N/A,N/A,,No,No,No,Sí,No,,,N/A,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I Ciclo,2021,2021-05-24 22:25:04,2021-05-24 22:21:00,No,N/A,N/A,N/A,N/A,N/A,,No,No,No,No,No,Internet.,,N/A,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I Ciclo,2021,2021-05-18 20:53:53,2021-05-18 20:49:29,No,N/A,N/A,N/A,N/A,N/A,,Sí,No,No,No,No,,,N/A,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I Ciclo,2021,2021-05-19 23:17:54,2021-05-19 23:12:13,No,N/A,N/A,N/A,N/A,N/A,,Sí,No,No,No,No,,,N/A,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I Ciclo,2021,2021-05-21 15:38:01,2021-05-21 15:35:58,No,N/A,N/A,N/A,N/A,N/A,,Sí,No,No,No,No,,,N/A,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I Ciclo,2021,2021-05-19 23:39:07,2021-05-19 23:34:50,No,N/A,N/A,N/A,N/A,N/A,,No,Sí,Sí,Sí,No,,,N/A,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I Ciclo,2021,2021-05-20 19:48:42,2021-05-20 18:53:28,No,N/A,N/A,N/A,N/A,N/A,,Sí,No,No,Sí,No,,,N/A,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I Ciclo,2021,2021-05-23 00:50:57,2021-05-23 00:48:23,No,N/A,N/A,N/A,N/A,N/A,,Sí,No,No,No,No,,,N/A,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
